Job, Salary, Education, Experience, Number of Jobs
Data Scientist, $112590, Bachelor's, None, 245900
Computer Research Scientist, $140910, Master's, None, 40300
Software Developers, $131450, Bachelor's, None, 1895500
Computer Hardware Engineers, $155020, Bachelor's, None, 76800
Computer Programmers, $98670, Bachelor's, None, 121200
Aerospace Testers, $79830, Associate's, None, 9300
Aerospace Engineers, $134830, Bachelor's, None, 71600
Atmospheric Scientists, $97450, Bachelor's, None, 9400

2. I think it's interesting how all of these have a high pay, but some of them like aerospace testers is lower than
atmospheric scientists. The amount of jobs in say Software Developers is also crazy high compared to other jobs
like atmospheric scientists.
3. Software Developers, Computer Hardware Engineers, Computer Programmers, Aerospace Engineers, Data Scientist,
Computer Research Scientist, Atmospheric Scientists, Aerospace Testers
Mainly was a factor of how interested I am in the job,
I'm more interested in CS and also want a better paying + open job.
